"Column","Missing Percentage"
"AGE_DEBUT",0
"ALSFRS-R",0
"COUPER_LA_NOURRITURE",0
"DEGLUTITION",0
"DYSPNEE",0
"ECRITURE",0
"HABILLAGE_HYGIENE",0
"INSUFFISANCE_RESPIRATOIRE",0
"LIT_TOURNER_AJUSTER_DRAPS",0
"MARCHE",0
"MONTE_LES_ESCALIER",0
"ORTHOPNEE",0
"PAROLE",0
"SALIVATION",0
"LIEUDEB",0
"SEX",0
"CVL_ASSIS_ESR_PP",0.28328611898017
"WEIGHT",1.9830028328611897
"BMI",2.26628895184136
"POIDS_DIFFERENCE",4.2492917847025495
"TEMPS_DIAGNOSTIC",11.048158640226628
"PH_PP",16.71388101983003
"ALAT",19.54674220963173
"ASAT",21.529745042492916
"CREATININE_CRE",24.929178470254957
"PHOSPHATASES_ALC._PAL",24.929178470254957
"CVL_ASSIS_OBSV_PP",28.328611898016998
"FERRITINE_FERRI",29.178470254957507
"CHLORURES_CL",29.745042492917843
"POTASSIUM_K",29.745042492917843
"AT_FAMIL",30.878186968838527
"GAMMA-GT_GGT",31.1614730878187
"IGG_IGG",31.1614730878187
"ALPHA_1_ELE_A1VA",31.444759206798867
"ALPHA_2_ELE_A2VA",31.444759206798867
"BETA_ELE_BVA",31.444759206798867
"GAMMA_ELE_GVA",31.444759206798867
"LDH",31.728045325779036
"SODIUM",31.728045325779036
"PCO2_GZ_PCO2",32.86118980169972
"PO2_GZ_PO2",32.86118980169972
"SATURATION_GZ_SAT",32.86118980169972
"TRIGLYCERIDES_TRI_G",32.86118980169972
"BETA_2_MICROGLOBULINE_B2M",33.14447592067989
"FVC",33.42776203966006
"METHB_GZ_METHB",33.42776203966006
"O2HB_GZ_O2HB",33.42776203966006
"IGA_IGA",33.711048158640224
"IGM_IGM",33.711048158640224
"LACTATE_GDS_GZ_LAC",33.994334277620396
"HDL_CHOLESTEROL_HDL_G",34.844192634560905
"LDL_CHOLESTEROL_LDL_G",35.69405099150141
"CRP",39.09348441926346
"TCO2_GZ_TCO2",40.226628895184135
"CALCIUM_CA",40.79320113314447
"UREE_URE",41.07648725212464
"BILIRUBINE_TOTALE_BILT",42.492917847025495
"GLUCOSE_LCR_GLU_C",42.492917847025495
"BILIRUBINE_CONJUGUEE_BILC",42.77620396600567
"ALBUMINE_ALB",43.90934844192634
"VITAMINE_E_TOCOPHEROL_VITE",45.609065155807365
"CREATINE_KINASE_CK",47.30878186968839
"HEMOGLOBINE_NG_HB",47.30878186968839
"LY_FS_LY_VA",47.30878186968839
"MO_FS_MONO_VA",47.30878186968839
"PB_FS_PB_VA",47.30878186968839
"PE_FS_PE_VA",47.30878186968839
"PN_FS_PN_VA",47.30878186968839
"VGM_NG_VGM",47.30878186968839
"PLAQUETTES_NG_PLAQ",47.59206798866856
"RAPPORT_IGGLCR/ALBLCR_RAP_G_ALB",48.44192634560906
"INDEX_IGG_IND_IGG",48.725212464589234
"PROTEINES_PRO",49.008498583569406
"IGG_LCR_IGG_C",49.57507082152974
"QUOTIENT_ALBUMINE_QUO_ALB",49.858356940509914
