Analyses,Catégories de patients,Critères,Limites basses,Limites hautes,Unités
Acide urique,Femme,[],143,339,µmol/L
Acide urique,Homme,[],202,416,µmol/L
Acide urique (urines),Tous,[],1.5,4.5,mmol/L
Acides Gras Non Estérifiés,Tous,[],0.13,0.6,mmol/L
ALAT,Femme,[],5,33,UI/L à 37°C
ALAT,Homme,[],5,41,UI/L à 37°C
Albumine,0-4J,[],28,44,g/L
Albumine,4J-14A,[],38,54,g/L
Albumine,14-18A,[],32,45,g/L
Albumine,>18Ans,[],35,52,g/L
Ammoniémie,Femme,[],11,51,µmol/L
Ammoniémie,Homme,[],16,60,µmol/L
Amylase,Tous,[],28,100,UI/L à 37°C
Amylase (urines),Tous,[],10,350,UI/L à 37°C
ASAT,Femme,[],5,32,UI/L à 37°C
ASAT,Homme,[],5,40,UI/L à 37°C
Bêta 2 microglobuline,Tous,[],0.8,2.2,mg/L
Bêta hCG totale,Femme,<,,7,UI/L
Bêta hCG totale,Homme,<,,2,UI/L
Bicarbonates,Tous,[],22,29,mmol/L
Bilirubine,>15A Femme,[],2.5,15,µmol/L
Bilirubine,>15A Homme,[],2.5,24,µmol/L
Bilirubine,0-1J,[],25,150,µmol/L
Bilirubine,1-2J,[],60,200,µmol/L
Bilirubine,3-5J,[],25,200,µmol/L
Bilirubine,5-30J,[],5,20,µmol/L
Bilirubine,1M-15A,[],2.5,17,µmol/L
Bilirubine conjugée,Tous,[],0,5,µmol/L
Calcium,0-3J,[],1.9,2.6,mmol/L
Calcium,4-7J,[],1.9,2.6,mmol/L
Calcium,8-14J,[],1.9,2.6,mmol/L
Calcium,15-30J,[],2.25,2.75,mmol/L
Calcium,1M-16A,[],2.2,2.75,mmol/L
Calcium,Tous,[],2.15,2.5,mmol/L
Calcium ionisé,0-1J,[],0.8,1.34,mmol/L
Calcium ionisé,2-6J,[],1,1.17,mmol/L
Calcium ionisé,Tous,[],1.15,1.3,mmol/L
Chlorures,Tous,[],98,107,mmol/L
Chlorures (urines),Tous,[],60,150,mmol/L
Cholestérol,Tous,<,,5.2,mmol/L
Cholestérol,Tous,<,,2.01,g/L
Créatine kinase,Femme,[],26,192,UI/L à 37°C
Créatine kinase,Homme,[],39,308,UI/L à 37°C
Créatinine,0-2M,[],27,77,µmol/L
Créatinine,2-12M,[],14,34,µmol/L
Créatinine,1-3A,[],15,31,µmol/L
Créatinine,3-5A,[],23,37,µmol/L
Créatinine,5-7A,[],25,42,µmol/L
Créatinine,7-9A,[],30,47,µmol/L
Créatinine,9-11A,[],29,56,µmol/L
Créatinine,11-13A,[],39,60,µmol/L
Créatinine,13-15A,[],40,68,µmol/L
Créatinine,Femme,[],45,84,µmol/L
Créatinine,Homme,[],59,104,µmol/L
Créatinine (urines),Femme,[],2.6,20,mmol/L
Créatinine (urines),Homme,[],3.5,24.6,mmol/L
CRP,Tous,<,,5,mg/L
eDFG (MDRD),Tous,[],100,140,"mL/min/1,73m2"
Fer,Tous,[],5.83,34.5,µmol/L
Ferritine,Femme,[],13,150,µg/L
Ferritine,Homme,[],30,400,µg/L
Gamma-GT,Femme,[],6,42,UI/L à 37°C
Gamma-GT,Homme,[],10,71,UI/L à 37°C
Glucose,Tous,[],4.1,6,mmol/L
Glucose,Tous,[],0.74,1.09,g/L
Glucose (urines),Tous,[],0.06,0.83,mmol/L
Haptoglobine,Tous,[],0.5,2,g/L
HbA1C,Tous,[],4,6,% Hb total
HbA1C,Tous,[],20,42,mmol/molHb
HDL,Femme,[],1.15,1.68,mmol/L
HDL,Femme,[],0.4,0.7,g/L
LDL,Femme,[],2.64,3.94,mmol/L
LDL,Femme,[],1,1.5,g/L
HDL,Homme,[],0.9,1.45,mmol/L
HDL,Homme,[],0.35,0.55,g/L
LDL,Homme,[],2.89,4.13,mmol/L
LDL,Homme,[],1.1,1.6,g/L
Insuline,Tous,[],17.8,173,pmol/L
Lactate,Tous,[],0.5,2.2,mmol/L
LDH,4-20J,[],225,600,UI/L à 37°C
