"NB_FEATURES","METHOD","FEATURES","CORRELATION_METRIC","SVM_NORMALIZATION","MEASURE","UMAP","CLUSTERING","NB_PATIENTS_PER_CLUSTER","N_CLUSTERS","SILHOUETTE_AVG","SILHOUETTE_STD","CH","HS_AVG","HS_STD","PATIENT_DISTRIBUTION","MATCHING_PERCENTAGE","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","WILCOXON-PVAL_MAX","WILCOXON-STAT_MIN"
"19","CF7_WSD_KMD_2","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","KMD","191, 178",2,0.42505524676510364,0.1752508023336861,-1,0.08662050863263646,0.01640943648033995,0.9991044942261229,72.88647342995169,0.000000000000000003499,75.58548832624336,0.0000000000000000000001262,95.81336428940955
"19","CF7_WSD_UMAP_KMD_2","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KMD","186, 183",2,0.5664318799972534,0.20831909775733948,886.8847455415074,0.9165342957603755,0.0145153027643842,0.9999523196862128,72.23842347119124,0.00000000000000001488,72.7276316096959,0.000000000000000000004414,88.77927347501819
"19","CF7_WSD_SPEC_2","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","SPEC","161, 208",2,0.43350069771673405,0.16864604289644067,-1,0.08661168121864517,0.014105283026097093,0.9882654105324815,73.11329091551785,0.00000000000000005175,70.26864697833633,0.000000000000000000000145,95.53883035353992
"19","CF7_WSD_AHC_2","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","AHC","168, 201",2,0.4209010951553775,0.18469892363846735,-1,0.0870877577186817,0.014381570462563043,0.994223030575853,72.54477436078709,0.0000000000000003127,66.72132214740428,0.000000000000000000006277,88.08291771331352
"19","CF7_WSD_UMAP_KME_2","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KME","199, 170",2,0.5741386413574219,0.19804881513118744,905.2143821817497,0.9205815120862759,0.014478886982159272,0.9955399907986198,72.50058913632614,0.000000000000001844,63.22449432907356,0.00000000000000000007905,83.0736543129916
"19","CF7_WSD_UMAP_SPEC_2","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","SPEC","162, 207",2,0.579293966293335,0.19224433600902557,910.4723999252843,0.91705165796547,0.014964717174447039,0.9892452969285004,72.24726051608343,0.00000000000003628,57.36048251479864,0.000000000000000001786,76.91407064083472
"19","CF7_WSD_UMAP_AHC_2","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","AHC","223, 146",2,0.5793366432189941,0.20435597002506256,867.7014970186644,0.9160639041531224,0.015386316942732733,0.9683575933809638,72.46818663838812,0.000000000000304,53.18239036419952,0.000000000000000002718,76.08467137328745
"19","CF7_WSD_UMAP_SPEC_3","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","SPEC","111, 96, 162",3,0.5416513085365295,0.24863803386688232,1103.5286689043132,0.9164695272968841,0.015658591465626787,0.9767386813990775,73.58754565806528,0.000000002153,35.82985500153807,0.0000000001932,40.5344404311442
"19","CF7_WSD_SPEC_3","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","SPEC","195, 144, 30",3,0.36356432945305256,0.18129825412385855,-1,0.0848217559653288,0.015137241813587792,0.8267636567434475,75.9381995993873,0.000000003097,35.121700352451974,0.00000000003023,44.16209234474419
"19","CF7_WSD_AHC_3","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","AHC","201, 30, 138",3,0.3529187476489707,0.19837571163822357,-1,0.08568308455307415,0.015437493296602203,0.8217381840067878,74.05885471898198,0.0000009862,23.954801360704582,0.0000000822,28.75349499474981
"19","CF7_WSD_KMD_3","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","NO","KMD","128, 109, 132",3,0.3256654067989942,0.19070733203659457,-1,0.08509329763104198,0.013556086464781474,0.9969150053882291,71.33704489218805,0.000001694,22.914300916387585,0.00000001432,32.143021767122626
"19","CF7_WSD_UMAP_KMD_3","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KMD","110, 134, 125",3,0.5709118247032166,0.17748403549194336,1248.7969794855203,0.9170935075418165,0.015309834866929436,0.9970236818656519,70.71550606810416,0.00003276,17.250425565918874,0.0000002527,26.580975411672245
"19","CF7_WSD_UMAP_KME_3","MANUAL+TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM_LINEAR","YES","KME","124, 134, 111",3,0.5703891515731812,0.17703740298748016,1249.7035240210405,0.9162307883427282,0.01645054353632984,0.9973179454810736,70.70372334158124,0.00003655,17.04262090534903,0.0000003327,26.049849925135653
