"METHOD","FEATURES","CORRELATION_METRIC","SVM_NORMALIZATION","MEASURE","UMAP","CLUSTERING","NB_PATIENTS_PER_CLUSTER","N_CLUSTERS","SILHOUETTE_AVG","SILHOUETTE_STD","CH","HS_AVG","HS_STD","PATIENT_DISTRIBUTION","MATCHING_PERCENTAGE","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","WILCOXON-PVAL_MAX","WILCOXON-STAT_MIN"
"GOM","PC_CHANGE_M6","None","None","None","NO","Thresold","253, 116",2,0.6069082400325767,0.22905353668916342,545.42061814538,0.9191209143109039,0.08412489943480227,0.8981459225035971,-1,"2.281e-24",103.76199870146702,"1.728e-27",118.0065120608482
"MEY","ALSFRS-R_D50","None","None","None","NO","Thresold","241, 101, 27",3,0.5932821690803195,0.21106716535231995,805.3135185065363,0.8510619255766675,0.06739570533552597,0.7502273925785007,-1,"4.264e-05",16.750135128489458,"1.512e-05",18.722243839550803
"GRO","ALSFRS-R_SCORE_Y1","None","None","None","NO","Thresold","13, 88, 118, 150",4,0.538560858288165,0.2132474331025029,908.0384316278262,0.6539555702654389,0.09243165137167882,0.858575383551884,-1,"2.067e-02",5.3544003247670835,"1.124e-02",6.427088758057156
"HAL_UMAP_SPEC_5","ALLFEAT","None","None","DTW_INDEPENDENT","NO","SPEC","91, 47, 24, 77, 130",5,0.41674527525901794,0.21720018982887268,429.7209301450694,0.7957042868964579,0.03359985071193191,0.9195639521845118,-1,"5.538e-01",0.3504690476777696,"6.545e-01",0.20028271535930786
"HAL_UMAP_SPEC_6","ALLFEAT","None","None","DTW_INDEPENDENT","NO","SPEC","89, 36, 24, 78, 96, 46",6,0.4257164001464844,0.25862565636634827,504.19370110588125,0.7950452427005115,0.03418862426225893,0.9410700030902481,-1,"5.890e-01",0.2918458750972877,"8.851e-01",0.02089335799156345
"HAL_AHC_4","ALLFEAT","None","None","DTW_INDEPENDENT","NO","AHC","97, 64, 186, 22",4,0.16234878718961374,0.20931780909009073,-1,0.06781032440324919,0.011103237150956418,0.8428948984661523,-1,"5.929e-01",0.2858925227895879,"3.773e-01",0.7795301690142138
"HAL_AHC_5","ALLFEAT","None","None","DTW_INDEPENDENT","NO","AHC","64, 49, 186, 22, 48",5,0.1700156461826948,0.26690508603321506,-1,0.06702043091918694,0.00980832054676469,0.8392345466165043,-1,"5.929e-01",0.2858925227895879,"8.614e-01",0.030495278692292408
"HAL_UMAP_AHC_5","ALLFEAT","None","None","DTW_INDEPENDENT","NO","AHC","118, 91, 100, 24, 36",5,0.41323649883270264,0.24828177690505981,423.81746900168736,0.798193216084251,0.035211251923702495,0.9123991475215573,-1,"6.396e-01",0.2193224719545568,"9.362e-01",0.006417540979130482
"HAL_UMAP_SPEC_4","ALLFEAT","None","None","DTW_INDEPENDENT","NO","SPEC","128, 113, 104, 24",4,0.41126748919487,0.20362895727157593,430.5455482866618,0.7965117826846204,0.037143091028164904,0.912024338454456,-1,"6.709e-01",0.18049757993097448,"7.354e-01",0.11425018533069055
"HAL_SPEC_6","ALLFEAT","None","None","DTW_INDEPENDENT","NO","SPEC","46, 43, 115, 14, 57, 94",6,0.18927021995817248,0.24215073424050026,-1,0.0663488704257363,0.010152341626503848,0.912181488199673,-1,"8.153e-01",0.054573886392083014,"9.096e-01",0.01288775295505512
"HAL_UMAP_AHC_6","ALLFEAT","None","None","DTW_INDEPENDENT","NO","AHC","100, 91, 51, 24, 36, 67",6,0.40679827332496643,0.26601123809814453,493.78885535637795,0.7994135355685735,0.037522817597965566,0.9416207169320431,-1,"8.838e-01",0.02136841833942107,"9.362e-01",0.006417540979130482
"HAL_SPEC_4","ALLFEAT","None","None","DTW_INDEPENDENT","NO","SPEC","63, 140, 96, 70",4,0.23752210960266598,0.20572748835660537,-1,0.06498739787953299,0.011036505866689132,0.9630955913660127,-1,"9.007e-01",0.015584406651814967,"9.505e-01",0.0038500782755460095
"HAL_AHC_6","ALLFEAT","None","None","DTW_INDEPENDENT","NO","AHC","186, 49, 43, 22, 48, 21",6,0.1438494093011237,0.27821196802116077,-1,0.06824109475518315,0.010990829797808216,0.8150967135991348,-1,"9.219e-01",0.00961616404427887,"9.503e-01",0.0038786321465545956
"HAL_SPEC_5","ALLFEAT","None","None","DTW_INDEPENDENT","NO","SPEC","124, 46, 80, 35, 84",5,0.23922711003878702,0.22324551734073447,-1,0.0672419300107274,0.010210339934507135,0.9430544504472065,-1,"9.483e-01",0.004209083223633879,"8.736e-01",0.025303034636115256
"HAL_UMAP_AHC_4","ALLFEAT","None","None","DTW_INDEPENDENT","NO","AHC","60, 118, 100, 91",4,0.3823668658733368,0.1814117729663849,404.37395762737503,0.7883824386207293,0.038700052507364115,0.9803235344708996,-1,"9.930e-01",0.00007788450011222946,"8.111e-01",0.05710524414074455
