"Column_1","Column_2","ARI_Score"
"WSD_AHC_2","WSD_KMD_2",1
"WSD_AHC_2","WSD_SPEC_2",1
"WSD_AHC_2","RF_AHC_2",1
"WSD_AHC_2","RF_UMAP_AHC_2",1
"WSD_AHC_2","RF_KMD_2",1
"WSD_AHC_2","RF_UMAP_KMD_2",1
"WSD_AHC_2","RF_UMAP_KME_2",1
"WSD_AHC_2","RF_SPEC_2",1
"WSD_AHC_2","RF_UMAP_SPEC_2",1
"WSD_KMD_2","WSD_SPEC_2",1
"WSD_KMD_2","RF_AHC_2",1
"WSD_KMD_2","RF_UMAP_AHC_2",1
"WSD_KMD_2","RF_KMD_2",1
"WSD_KMD_2","RF_UMAP_KMD_2",1
"WSD_KMD_2","RF_UMAP_KME_2",1
"WSD_KMD_2","RF_SPEC_2",1
"WSD_KMD_2","RF_UMAP_SPEC_2",1
"WSD_SPEC_2","RF_AHC_2",1
"WSD_SPEC_2","RF_UMAP_AHC_2",1
"WSD_SPEC_2","RF_KMD_2",1
"WSD_SPEC_2","RF_UMAP_KMD_2",1
"WSD_SPEC_2","RF_UMAP_KME_2",1
"WSD_SPEC_2","RF_SPEC_2",1
"WSD_SPEC_2","RF_UMAP_SPEC_2",1
"RF_AHC_2","RF_UMAP_AHC_2",1
"RF_AHC_2","RF_KMD_2",1
"RF_AHC_2","RF_UMAP_KMD_2",1
"RF_AHC_2","RF_UMAP_KME_2",1
"RF_AHC_2","RF_SPEC_2",1
"RF_AHC_2","RF_UMAP_SPEC_2",1
"RF_UMAP_AHC_2","RF_KMD_2",1
"RF_UMAP_AHC_2","RF_UMAP_KMD_2",1
"RF_UMAP_AHC_2","RF_UMAP_KME_2",1
"RF_UMAP_AHC_2","RF_SPEC_2",1
"RF_UMAP_AHC_2","RF_UMAP_SPEC_2",1
"RF_KMD_2","RF_UMAP_KMD_2",1
"RF_KMD_2","RF_UMAP_KME_2",1
"RF_KMD_2","RF_SPEC_2",1
"RF_KMD_2","RF_UMAP_SPEC_2",1
"RF_UMAP_KMD_2","RF_UMAP_KME_2",1
"RF_UMAP_KMD_2","RF_SPEC_2",1
"RF_UMAP_KMD_2","RF_UMAP_SPEC_2",1
"RF_UMAP_KME_2","RF_SPEC_2",1
"RF_UMAP_KME_2","RF_UMAP_SPEC_2",1
"RF_SPEC_2","RF_UMAP_SPEC_2",1
