FEATURE,VALUE
Achilléen Droit : [ ACHILEEN_D ] [ STATIC ],aboli ou diminue (22)
Achilléen Droit : [ ACHILEEN_D ] [ STATIC ],normal (13)
Achilléen Droit : [ ACHILEEN_D ] [ STATIC ],present dans un muscle atrophie (3)
Achilléen Droit : [ ACHILEEN_D ] [ STATIC ],"vif, diffuse, polycinetique (28)"
Achilléen Gauche : [ ACHILEEN_G ] [ STATIC ],aboli ou diminue (21)
Achilléen Gauche : [ ACHILEEN_G ] [ STATIC ],normal (15)
Achilléen Gauche : [ ACHILEEN_G ] [ STATIC ],present dans un muscle atrophie (2)
Achilléen Gauche : [ ACHILEEN_G ] [ STATIC ],"vif, diffuse, polycinetique (28)"
Activité ou emploi physique intense (Actuellement ou antérieurement) : [ ACTINT ] [ STATIC ],Non (102)
Activité ou emploi physique intense (Actuellement ou antérieurement) : [ ACTINT ] [ STATIC ],Oui (105)
Alimentation par chambre implantable : [ TTT_ALIM ] [ STATIC ],Non (32)
Antécédents familiaux neurologiques notables : [ AT_FAMIL ] [ STATIC ],Non (305)
Antécédents familiaux neurologiques notables : [ AT_FAMIL ] [ STATIC ],Oui (277)
Appareils de communication : [ TTT_APPCOM ] [ STATIC ],Non (31)
Appareils de communication : [ TTT_APPCOM ] [ STATIC ],Oui (2)
Asthme : [ ASTHME_PP ] [ STATIC ],Non (25)
Asthme : [ ASTHME_PP ] [ STATIC ],Oui (4)
Atrophie :  [ ATROPHIE ] [ STATIC ],absente (2)
Atrophie :  [ ATROPHIE ] [ STATIC ],presente (53)
Autre : [ AUTRE1 ] [ STATIC ],Non (35)
Autre : [ AUTRE1 ] [ STATIC ],Oui (1)
Autre : [ TTT_AUTRE ] [ STATIC ],Non (30)
Autre : [ TTT_AUTRE ] [ STATIC ],Oui (8)
Bicipital Droit : [ BICIPITAL_D ] [ STATIC ],aboli ou diminue (9)
Bicipital Droit : [ BICIPITAL_D ] [ STATIC ],normal (14)
Bicipital Droit : [ BICIPITAL_D ] [ STATIC ],present dans un muscle atrophie (6)
