"FEATURE","median","Q1","Q3","value"
"(HBA1C)",5.6,5.5,5.6,"5.5 ± 0.1"
"25 D (425D)",55,34.4,83,"61.4 ± 33.0"
"25 D 3G (425D3G)",67,61,77,"75.3 ± 24.7"
"ACE (4ACE)",2,1,2.3,"2.1 ± 1.8"
"ALAT",21,15,30,"25.2 ± 17.5"
"ALAT (ALAT)",24.5,17.5,28.5,"31.6 ± 29.6"
"ALSFRS-R",41,38,43,"39.9 ± 5.1"
"ASAT",22,18,28,"25.1 ± 11.2"
"ASAT (ASAT)",22.5,19.3,30,"23.5 ± 6.6"
"Ab42 (4BAMYL)",1310.5,1078.5,1519.5,"1303.7 ± 298.2"
"Abduction de la cuisse (Droit) [ ID733S2V11_muscu_14_d ] [ STATIC ]",5,4,5,"4.4 ± 0.8"
"Abduction de la cuisse (Gauche) [ ID733S2V11_muscu_14_g ] [ STATIC ]",5,4,5,"4.4 ± 1.1"
"Abduction ou adduction du bras (Droit) [ ID733S2V11_muscu_7_d ] [ STATIC ]",5,4,5,"4.4 ± 0.8"
"Abduction ou adduction du bras (Gauche) [ ID733S2V11_muscu_7_g ] [ STATIC ]",5,4,5,"4.5 ± 0.8"
"Adduction du pouce (Droit) [ ID733S2V11_muscu_1_d ] [ STATIC ]",4,4,5,"4.3 ± 0.8"
"Adduction du pouce (Gauche) [ ID733S2V11_muscu_1_g ] [ STATIC ]",5,4,5,"4.2 ± 1.1"
"Age (si non décédé) : [ AGEPEREV ] [ STATIC ]",80.5,71.5,84.8,"78.5 ± 9.0"
"Age (si non décédée) : [ AGEMEREV ] [ STATIC ]",80,72,88,"79.9 ± 9.8"
"Age : [ AGEMERED ] [ STATIC ]",81,71,90,"79.1 ± 14.5"
"Age : [ AGEPERED ] [ STATIC ]",76,63.3,85,"73.5 ± 14.7"
"Age : [ AGE_PP ] [ STATIC ]",67,59,74,"65.7 ± 11.2"
"Age du début [ AGE_DEBUT ] [ STATIC ]",66,57,72,"64.3 ± 11.2"
"Albumine (ALB)",42,40,45,"42.3 ± 3.6"
"Albumine (LCR) (ALB_C)",0.3,0.2,0.3,"0.3 ± 0.1"
"Alpha 1 (ELE_A1VA)",2.7,2.4,3,"2.8 ± 0.5"
"Alpha 2 (ELE_A2VA)",6.8,6.2,7.7,"7.0 ± 1.2"
"Alpha foeto proteine (4AFP)",3,2,5,"3.9 ± 3.0"
"Amylase (AMY)",45,35,60,"50.8 ± 21.8"
"Angiotensine Convertase (ECA)",27,17,32.8,"29.1 ± 23.1"
"BMI",24.2,21.8,26.5,"24.6 ± 4.2"
"BNP",21,21,21,
"BORRELIOSE IGG (BORIGGBR)",0.2,0.1,0.3,"0.2 ± 0.1"
"Balance ionique (bal)",107,105,108,"106.5 ± 2.7"
"Beta (ELE_BVA)",7.6,7,8.1,"7.6 ± 1.0"
"Beta 2 microglobuline (B2M)",1.9,1.7,2.2,"2.0 ± 0.4"
"Bicarbonates (BIC)",28,25.5,29,"27.3 ± 2.4"
"Bilirubine conjuguee (BILC)",3,2,4,"3.3 ± 1.5"
"Bilirubine non conjuguee (BILNC)",7,5,10,"8.6 ± 5.8"
"Bilirubine totale (BILT)",10,8,13,"11.9 ± 6.4"
"Borreliose IgM (BORIGMBR)",0.3,0.2,0.4,"0.4 ± 0.4"
"C3 (2C3SPA)",1.3,1.2,1.3,"1.3 ± 0.1"
"C4 (2C4SPA)",0.3,0.3,0.3,"0.3 ± 0.0"
"CA 125 (4C125)",10,8,14.3,"12.1 ± 6.8"
"CA 15-3 (4C153)",15,11,20,"15.9 ± 7.1"
"CA 19-9 (4C199)",7.5,5,11,"9.4 ± 7.3"
"CCMH (NG_CCMH_X)",34.2,33.2,34.6,"33.9 ± 0.8"
"CPT_ASSIS_ESR_PP [ STATIC ]",5.9,4.8,6.7,"5.8 ± 1.1"
"CRP",1.3,0.6,2.8,"4.9 ± 19.0"
"CRP (CRP)",3.1,1.8,8.9,"7.3 ± 9.4"
"CVL_ASSIS_ESR_PP [ STATIC ]",3.3,2.4,4.2,"3.3 ± 1.0"
"CVL_ASSIS_OBSV_PP [ STATIC ]",3.2,2.4,4,"3.2 ± 1.1"
"CVL_ASSIS_THEO_PP [ STATIC ]",101.1,85.6,113.5,"99.4 ± 23.2"
"Ca ionise (gz_ca)",1.2,1.2,1.2,"1.2 ± 0.0"
"Ca ionise (pH 7.40) (gz_ca_cor)",1.2,1.2,1.2,"1.2 ± 0.0"
"Calcium (CA)",2.4,2.3,2.5,"2.4 ± 0.1"
"Capacite tot. fixation Trf (CAPA)",58,53,64,"58.1 ± 8.4"
"Chlorures (CL)",104,102,106,"103.8 ± 3.1"
"Chlorures (urines) (CL_U)",88,60.5,115.5,"88.0 ± 77.8"
"Cholesterol (CHO)",5.7,4.9,6.5,"5.7 ± 1.2"
"Cholesterol (CHO_G)",2.2,1.9,2.5,"2.2 ± 0.5"
"Coeff Saturation Trf (Coef_sat)",32,26,40,"33.8 ± 10.1"
"Couper la nourriture",3,3,4,"3.2 ± 1.0"
"Creatine kinase (CK)",148.5,97,251.8,"206.5 ± 181.7"
"Creatinine (CRE)",67,59,78,"68.7 ± 15.4"
"Creatinine (urines) (CRE_U)",12.5,10.1,14.8,"12.5 ± 6.7"
"DEBIT_POINTE_PP [ STATIC ]",5.3,3.7,7,"5.6 ± 2.4"
"DeoxHb (gz_DeoxHb)",3.2,2.5,4.4,"3.5 ± 1.4"
"Dyspnée",4,4,4,"3.7 ± 0.8"
"Déglutition",4,3,4,"3.5 ± 0.7"
"EB (gz_EB)",1.4,0.5,2.5,"1.6 ± 1.9"
"Ecriture",4,3,4,"3.2 ± 1.0"
"Extension de l avant bras (Droit) [ ID733S2V11_muscu_6_d ] [ STATIC ]",5,4,5,"4.4 ± 0.7"
"Extension de l avant bras (Gauche) [ ID733S2V11_muscu_6_g ] [ STATIC ]",5,4,5,"4.5 ± 0.8"
"Extension de la jambe sur la cuisse (Droit) [ ID733S2V11_muscu_12_d ] [ STATIC ]",5,4,5,"4.4 ± 0.7"
"Extension de la jambe sur la cuisse (Gauche) [ ID733S2V11_muscu_12_g ] [ STATIC ]",5,4,5,"4.5 ± 1.0"
"Extension de la main (Droit) [ ID733S2V11_muscu_4_d ] [ STATIC ]",5,4,5,"4.6 ± 0.6"
"Extension de la main (Gauche) [ ID733S2V11_muscu_4_g ] [ STATIC ]",5,4,5,"4.5 ± 0.9"
"Extension du cou [ ID733S2V11_muscu_16 ] [ STATIC ]",5,5,5,"4.9 ± 0.4"
"FS (FS_LY)",30.3,24.3,32.5,"26.4 ± 10.6"
"FS (FS_LY_VA)",1.7,1.5,1.7,"1.5 ± 0.5"
"FS (FS_MONO)",8.6,7.4,10.1,"8.9 ± 3.2"
"FS (FS_MONO_VA)",0.5,0.4,0.6,"0.5 ± 0.1"
"FS (FS_PB)",0.6,0.4,0.7,"0.6 ± 0.3"
"FS (FS_PB_VA)",0,0,0,"0.0 ± 0.0"
"FS (FS_PE)",1.4,1.4,2.9,"2.9 ± 3.1"
"FS (FS_PE_VA)",0.1,0.1,0.2,"0.2 ± 0.2"
"FS (FS_PN)",54.8,53.8,62.2,"61.2 ± 14.1"
"FS (FS_PN_VA)",3.1,2.8,4,"3.7 ± 1.5"
"FT4 (4FT4)",15.8,15.1,17.5,"16.4 ± 2.1"
"FVC",100.5,84,113.5,"97.6 ± 24.2"
"Facteurs rhumatoides (2FRSPA)",10,9.3,11.1,"10.3 ± 1.4"
"Fer (FE)",19,16,23,"19.5 ± 6.0"
"Ferritine (FERRI)",194,113,338.3,"254.1 ± 210.2"
"Flexion de cuisse sur le bassin (Droit) [ ID733S2V11_muscu_13_d ] [ STATIC ]",4.5,4,5,"4.4 ± 0.8"
"Flexion de cuisse sur le bassin (Gauche) [ ID733S2V11_muscu_13_g ] [ STATIC ]",5,4,5,"4.4 ± 1.1"
"Flexion de l avant bras (Droit) [ ID733S2V11_muscu_5_d ] [ STATIC ]",5,4,5,"4.5 ± 0.6"
"Flexion de l avant bras (Gauche) [ ID733S2V11_muscu_5_g ] [ STATIC ]",5,4,5,"4.6 ± 0.7"
"Flexion de la jambe sur la cuisse (Droit) [ ID733S2V11_muscu_11_d ] [ STATIC ]",5,4,5,"4.4 ± 0.9"
"Flexion de la jambe sur la cuisse (Gauche) [ ID733S2V11_muscu_11_g ] [ STATIC ]",5,4,5,"4.5 ± 1.0"
"Flexion de la main (Droit) [ ID733S2V11_muscu_3_d ] [ STATIC ]",5,4,5,"4.5 ± 0.7"
"Flexion de la main (Gauche) [ ID733S2V11_muscu_3_g ] [ STATIC ]",5,4,5,"4.4 ± 1.0"
"Flexion des doigts (Droit) [ ID733S2V11_muscu_2_d ] [ STATIC ]",4.5,4,5,"4.3 ± 0.8"
"Flexion des doigts (Gauche) [ ID733S2V11_muscu_2_g ] [ STATIC ]",5,4,5,"4.2 ± 1.1"
"Flexion dorsale du pied (Droit) [ ID733S2V11_muscu_10_d ] [ STATIC ]",4,3.3,5,"3.9 ± 1.4"
"Flexion dorsale du pied (Gauche) [ ID733S2V11_muscu_10_g ] [ STATIC ]",4.5,4,5,"4.1 ± 1.2"
"Flexion du cou [ ID733S2V11_muscu_15 ] [ STATIC ]",5,5,5,"4.9 ± 0.4"
"Flexion plantaire des orteils (Droit) [ ID733S2V11_muscu_8_d ] [ STATIC ]",4,4,5,"4.0 ± 1.4"
"Flexion plantaire des orteils (Gauche) [ ID733S2V11_muscu_8_g ] [ STATIC ]",5,4,5,"4.2 ± 1.3"
"Flexion plantaire du pied (Droit) [ ID733S2V11_muscu_9_d ] [ STATIC ]",5,4,5,"4.1 ± 1.3"
"Flexion plantaire du pied (Gauche) [ ID733S2V11_muscu_9_g ] [ STATIC ]",5,4,5,"4.3 ± 1.1"
"Folates seriques (4FOLSE)",16,11.1,21,"18.8 ± 13.5"
"G8 HBA1C_MMOL",39.5,37,43.3,"41.4 ± 6.8"
"GENE SOD1 Ancienne analyse (SOD1INT)",263.5,246.5,288.8,"261.2 ± 37.7"
"Gamma (ELE_GVA)",9.5,8.2,10.7,"9.5 ± 2.1"
"Gamma-GT (GGT)",24,19,39,"36.4 ± 42.7"
"Gaz du sang (gz_pH)",7.4,7.4,7.5,"7.4 ± 0.0"
"Glucose (GLU)",5.3,4.9,5.8,"5.6 ± 1.5"
"Glucose (GLU_G)",1,0.9,1.1,"1.0 ± 0.3"
"Glucose (LCR) (GLU_C)",3.9,3.6,4.2,"3.9 ± 0.4"
"HCO3 (mmol/L) : [ HCO3_PP ] [ STATIC ]",25.4,24.3,26.8,"25.7 ± 2.3"
"HCO3- (gz_HCO3-)",25.3,24.3,26.5,"25.5 ± 2.1"
"HDL Cholesterol HDL",1.5,1.3,1.8,"1.6 ± 0.4"
"HDL Cholesterol HDL_G",0.6,0.5,0.7,"0.6 ± 0.2"
"HIV 1ere technique (HIVaT)",0.1,0.1,0.1,"0.1 ± 0.0"
"HIV 2e technique (HIVbT)",0.2,0.2,0.3,"0.2 ± 0.1"
"Habillage Hygiène",3,3,4,"2.9 ± 1.0"
"Hb totale (gz_tHb)",14.4,13.4,15.2,"14.3 ± 1.4"
"Hematies (BACYH1)",8,0,8,"4.8 ± 3.9"
"Hematies (NG_HEM)",4.6,4.2,4.9,"4.5 ± 0.4"
"Hematies (NG_HEM_X)",4.7,4.4,5,"4.7 ± 0.4"
"Hematocrite (NG_HT)",42.3,39.1,44.5,"41.8 ± 3.8"
"Hematocrite (NG_HT_X)",43.3,40.1,44.7,"42.7 ± 3.3"
"Hemoglobine (NG_HB)",140,130.3,149.8,"140.1 ± 12.9"
"Hemoglobine (NG_HB_X)",146,137,155,"144.7 ± 11.6"
"Hemolyse (serum) (4HEMS_HEMP)",7,4,11,"9.8 ± 9.8"
"Hemolyse (serum) (HEMS_HEMP)",6,4,8,"7.8 ± 7.7"
"Homocysteine (HCES)",8.4,5.7,9.5,"7.3 ± 3.9"
"INR (INR)",1.5,0.9,2.9,"1.9 ± 1.1"
"Ictere (serum) (ICTS_ICTP)",1,1,1,"1.1 ± 0.3"
"IgA (2IGASPA)",2,1.8,2.3,"2.1 ± 0.8"
"IgA (IGA)",2.1,1.6,2.7,"2.2 ± 0.9"
"IgG (2IGGSPA)",8.6,7.5,10.4,"8.8 ± 1.6"
"IgG (IGG)",9.7,8.1,10.7,"9.6 ± 2.3"
"IgG (LCR) (IGG_C)",0,0,0,"0.0 ± 0.0"
"IgG HSV (HSVT)",17901,6342,24343,"16856.2 ± 13227.8"
"IgG anti-Borrelia burgdorferi sensu lato (BORCT)",0,0,0,"0.0 ± 0.0"
"IgM (2IGMSPA)",0.9,0.7,1.5,"1.1 ± 0.6"
"IgM (IGM)",0.8,0.6,1.2,"1.0 ± 1.1"
"IgM anti-Borrelia burgdorferi sensu lato (BORMT)",0,0,0,"0.0 ± 0.0"
"Index IgG (IND_IGG)",0.5,0.4,0.5,"0.5 ± 0.1"
"Insuffisance respiratoire",4,4,4,"3.9 ± 0.4"
"LDH",258,196,361,"288.0 ± 113.6"
"LDL Cholesterol LDL",3.5,2.7,4.1,"3.5 ± 1.0"
"LDL Cholesterol LDL_G",1.4,1.1,1.7,"1.4 ± 0.4"
"LY (FS_LY_VA)",1.7,1.3,2.1,"2.0 ± 3.2"
"LY (FS_LY_VA_X)",1.7,1.4,2.3,"1.9 ± 0.9"
"Lactate (LAC)",1.5,1.5,1.5,
"Lactate (LCR) (LAC_C)",1.8,1.6,2,"1.8 ± 0.2"
"Lactescence (serum) (LACS_LACP)",10,8,13,"14.4 ± 35.8"
"Leuco (BACYLEUCCAT)",12,0,12,"6.9 ± 5.9"
"Leuco BACYLEUCM",1.5,1,3,"9.5 ± 54.3"
