"median","Q1","Q3","value","FEATURE"
5.6,5.5,5.6,"5.5 ± 0.1","(HBA1C)"
55,34.4,83,"61.4 ± 33.0","25 D (425D)"
67,61,77,"75.3 ± 24.7","25 D 3G (425D3G)"
2,1,2.3,"2.1 ± 1.8","ACE (4ACE)"
21,15,30,"25.2 ± 17.5","ALAT"
24.5,17.5,28.5,"31.6 ± 29.6","ALAT (ALAT)"
41,38,43,"39.9 ± 5.1","ALSFRS-R"
22,18,28,"25.1 ± 11.2","ASAT"
22.5,19.3,30,"23.5 ± 6.6","ASAT (ASAT)"
1310.5,1078.5,1519.5,"1303.7 ± 298.2","Ab42 (4BAMYL)"
5,4,5,"4.4 ± 0.8","Abduction de la cuisse (Droit) [ ID733S2V11_muscu_14_d ] [ STATIC ]"
5,4,5,"4.4 ± 1.1","Abduction de la cuisse (Gauche) [ ID733S2V11_muscu_14_g ] [ STATIC ]"
5,4,5,"4.4 ± 0.8","Abduction ou adduction du bras (Droit) [ ID733S2V11_muscu_7_d ] [ STATIC ]"
5,4,5,"4.5 ± 0.8","Abduction ou adduction du bras (Gauche) [ ID733S2V11_muscu_7_g ] [ STATIC ]"
4,4,5,"4.3 ± 0.8","Adduction du pouce (Droit) [ ID733S2V11_muscu_1_d ] [ STATIC ]"
5,4,5,"4.2 ± 1.1","Adduction du pouce (Gauche) [ ID733S2V11_muscu_1_g ] [ STATIC ]"
80.5,71.5,84.8,"78.5 ± 9.0","Age (si non décédé) : [ AGEPEREV ] [ STATIC ]"
80,72,88,"79.9 ± 9.8","Age (si non décédée) : [ AGEMEREV ] [ STATIC ]"
81,71,90,"79.1 ± 14.5","Age : [ AGEMERED ] [ STATIC ]"
76,63.3,85,"73.5 ± 14.7","Age : [ AGEPERED ] [ STATIC ]"
67,59,74,"65.7 ± 11.2","Age : [ AGE_PP ] [ STATIC ]"
66,57,72,"64.3 ± 11.2","Age du début [ AGE_DEBUT ] [ STATIC ]"
42,40,45,"42.3 ± 3.6","Albumine (ALB)"
0.3,0.2,0.3,"0.3 ± 0.1","Albumine (LCR) (ALB_C)"
2.7,2.4,3,"2.8 ± 0.5","Alpha 1 (ELE_A1VA)"
6.8,6.2,7.7,"7.0 ± 1.2","Alpha 2 (ELE_A2VA)"
3,2,5,"3.9 ± 3.0","Alpha foeto proteine (4AFP)"
45,35,60,"50.8 ± 21.8","Amylase (AMY)"
27,17,32.8,"29.1 ± 23.1","Angiotensine Convertase (ECA)"
24.2,21.8,26.5,"24.6 ± 4.2","BMI"
21,21,21,,"BNP"
0.2,0.1,0.3,"0.2 ± 0.1","BORRELIOSE IGG (BORIGGBR)"
107,105,108,"106.5 ± 2.7","Balance ionique (bal)"
7.6,7,8.1,"7.6 ± 1.0","Beta (ELE_BVA)"
1.9,1.7,2.2,"2.0 ± 0.4","Beta 2 microglobuline (B2M)"
28,25.5,29,"27.3 ± 2.4","Bicarbonates (BIC)"
3,2,4,"3.3 ± 1.5","Bilirubine conjuguee (BILC)"
7,5,10,"8.6 ± 5.8","Bilirubine non conjuguee (BILNC)"
10,8,13,"11.9 ± 6.4","Bilirubine totale (BILT)"
0.3,0.2,0.4,"0.4 ± 0.4","Borreliose IgM (BORIGMBR)"
1.3,1.2,1.3,"1.3 ± 0.1","C3 (2C3SPA)"
0.3,0.3,0.3,"0.3 ± 0.0","C4 (2C4SPA)"
10,8,14.3,"12.1 ± 6.8","CA 125 (4C125)"
15,11,20,"15.9 ± 7.1","CA 15-3 (4C153)"
7.5,5,11,"9.4 ± 7.3","CA 19-9 (4C199)"
34.2,33.2,34.6,"33.9 ± 0.8","CCMH (NG_CCMH_X)"
5.9,4.8,6.7,"5.8 ± 1.1","CPT_ASSIS_ESR_PP [ STATIC ]"
1.3,0.6,2.8,"4.9 ± 19.0","CRP"
3.1,1.8,8.9,"7.3 ± 9.4","CRP (CRP)"
3.3,2.4,4.2,"3.3 ± 1.0","CVL_ASSIS_ESR_PP [ STATIC ]"
3.2,2.4,4,"3.2 ± 1.1","CVL_ASSIS_OBSV_PP [ STATIC ]"
101.1,85.6,113.5,"99.4 ± 23.2","CVL_ASSIS_THEO_PP [ STATIC ]"
1.2,1.2,1.2,"1.2 ± 0.0","Ca ionise (gz_ca)"
1.2,1.2,1.2,"1.2 ± 0.0","Ca ionise (pH 7.40) (gz_ca_cor)"
2.4,2.3,2.5,"2.4 ± 0.1","Calcium (CA)"
58,53,64,"58.1 ± 8.4","Capacite tot. fixation Trf (CAPA)"
104,102,106,"103.8 ± 3.1","Chlorures (CL)"
88,60.5,115.5,"88.0 ± 77.8","Chlorures (urines) (CL_U)"
5.7,4.9,6.5,"5.7 ± 1.2","Cholesterol (CHO)"
2.2,1.9,2.5,"2.2 ± 0.5","Cholesterol (CHO_G)"
32,26,40,"33.8 ± 10.1","Coeff Saturation Trf (Coef_sat)"
3,3,4,"3.2 ± 1.0","Couper la nourriture"
148.5,97,251.8,"206.5 ± 181.7","Creatine kinase (CK)"
67,59,78,"68.7 ± 15.4","Creatinine (CRE)"
12.5,10.1,14.8,"12.5 ± 6.7","Creatinine (urines) (CRE_U)"
5.3,3.7,7,"5.6 ± 2.4","DEBIT_POINTE_PP [ STATIC ]"
3.2,2.5,4.4,"3.5 ± 1.4","DeoxHb (gz_DeoxHb)"
4,4,4,"3.7 ± 0.8","Dyspnée"
4,3,4,"3.5 ± 0.7","Déglutition"
1.4,0.5,2.5,"1.6 ± 1.9","EB (gz_EB)"
4,3,4,"3.2 ± 1.0","Ecriture"
5,4,5,"4.4 ± 0.7","Extension de l avant bras (Droit) [ ID733S2V11_muscu_6_d ] [ STATIC ]"
5,4,5,"4.5 ± 0.8","Extension de l avant bras (Gauche) [ ID733S2V11_muscu_6_g ] [ STATIC ]"
5,4,5,"4.4 ± 0.7","Extension de la jambe sur la cuisse (Droit) [ ID733S2V11_muscu_12_d ] [ STATIC ]"
5,4,5,"4.5 ± 1.0","Extension de la jambe sur la cuisse (Gauche) [ ID733S2V11_muscu_12_g ] [ STATIC ]"
5,4,5,"4.6 ± 0.6","Extension de la main (Droit) [ ID733S2V11_muscu_4_d ] [ STATIC ]"
5,4,5,"4.5 ± 0.9","Extension de la main (Gauche) [ ID733S2V11_muscu_4_g ] [ STATIC ]"
5,5,5,"4.9 ± 0.4","Extension du cou [ ID733S2V11_muscu_16 ] [ STATIC ]"
30.3,24.3,32.5,"26.4 ± 10.6","FS (FS_LY)"
1.7,1.5,1.7,"1.5 ± 0.5","FS (FS_LY_VA)"
8.6,7.4,10.1,"8.9 ± 3.2","FS (FS_MONO)"
0.5,0.4,0.6,"0.5 ± 0.1","FS (FS_MONO_VA)"
0.6,0.4,0.7,"0.6 ± 0.3","FS (FS_PB)"
0,0,0,"0.0 ± 0.0","FS (FS_PB_VA)"
1.4,1.4,2.9,"2.9 ± 3.1","FS (FS_PE)"
0.1,0.1,0.2,"0.2 ± 0.2","FS (FS_PE_VA)"
54.8,53.8,62.2,"61.2 ± 14.1","FS (FS_PN)"
3.1,2.8,4,"3.7 ± 1.5","FS (FS_PN_VA)"
