"CONF_NUMBER","Max*(SILHOUETTE_AVG)","Min*(SILHOUETTE_AVG)","Max*(SILHOUETTE_STD)","Min*(SILHOUETTE_STD)","Max*(N_CLUSTERS)","Min*(N_CLUSTERS)","Max*(PATIENT_DISTRIBUTION)","Min*(PATIENT_DISTRIBUTION)","Max*(WILCOXON-PVAL_MAX)","Min*(WILCOXON-PVAL_MAX)","Max*(WILCOXON-STAT_MIN)","Min*(WILCOXON-STAT_MIN)"
"CF1",0.53,0.514,0.241,0.16,5,2,0.9997127491427911,0.9201016628648183,0.048,0,120.322,3.895
"CF2",0.568,0.503,0.284,0.187,4,2,0.9997375570984457,0.9551838209369798,0.026,0,117.12,4.982
"CF3",0.564,0.511,0.211,0.151,2,2,0.9987946423936424,0.9227703649299233,0,0,109.032,48.82
"CF4",0.715,0.715,0.129,0.129,2,2,0.7854875746784699,0.7854875746784699,0,0,29.496,29.496
"CF5",0.523,0.513,0.179,0.171,2,2,0.9849032384402939,0.9551838209369798,0,0,140.497,133.507
"CF6",0.515,0.515,0.178,0.176,3,3,0.9954074846066682,0.9950401717965738,0,0,46.457,43.323
"CF8",0.567,0.548,0.181,0.169,4,2,0.9914163616124928,0.9615404960881584,0,0,137.498,20.658
"CF9",0.773,0.567,0.284,0.171,3,2,0.9998102628429929,0.856340335103422,0,0,133.072,34.327
"CF10",0.756,0.588,0.235,0.168,2,2,0.9860247628789437,0.9329682225778206,0,0,121.647,69.349
"GOM",0.61,0.61,0.229,0.229,2,2,0.8938955552616297,0.8938955552616297,0,0,120.051,120.051
"GRO",0.538,0.538,0.214,0.214,4,4,0.8575849266405517,0.8575849266405517,0.012,0.012,6.366,6.366
"MEY",0.592,0.592,0.211,0.211,3,3,0.7521955101235941,0.7521955101235941,0,0,18.722,18.722
