"FEATURES","MEASURE","UMAP","CLUSTERING","N_CLUSTERS","SILHOUETTE_AVG","SILHOUETTE_STD","PATIENT_DISTRIBUTION","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","WILCOXON-PVAL_MAX","WILCOXON-STAT_MIN","CONF_NUMBER"
"ALLFEAT","SNORKEL_SVM","YES","KMD","2",0.554,0.18,0.9812758267529721,0,142.835,0,137.498,"CF8"
"ALLFEAT","SNORKEL_SVM","YES","KME","2",0.553,0.181,0.9825288436200383,0,142.739,0,136.329,"CF8"
"ALLFEAT","SNORKEL_SVM","YES","KMD","2",0.513,0.179,0.9849032384402939,0,141.872,0,133.507,"CF5"
"ALLFEAT","SNORKEL_SVM","YES","KME","2",0.521,0.171,0.9645705751859567,0,138.545,0,140.497,"CF5"
"ALLFEAT","SNORKEL_SVM","YES","SPEC","2",0.523,0.172,0.9551838209369798,0,132.998,0,138.817,"CF5"
"ALLFEAT","SNORKEL_SVM","NO","KMD","2",0.773,0.284,0.856340335103422,0,132.155,0,133.072,"CF9"
"ALLFEAT","SNORKEL_SVM","YES","KMD","2",0.54,0.217,0.9997375570984457,0,126.124,0,117.12,"CF2"
"ALLFEAT","SNORKEL_SVM","NO","KMD","2",0.756,0.235,0.9329682225778206,0,112.482,0,121.647,"CF10"
"PC_CHANGE_M6","VARIABLE","NO","Thresold","2",0.61,0.229,0.8938955552616297,0,107.699,0,120.051,"GOM"
"ALLFEAT","SNORKEL_SVM","YES","SPEC","2",0.568,0.203,0.9551838209369798,0,93.308,0,102.899,"CF2"
"ALLFEAT","SNORKEL_SVM","YES","KME","2",0.564,0.182,0.9627837760216919,0,92.332,0,102.825,"CF3"
"ALLFEAT","SNORKEL_SVM","YES","KME","2",0.568,0.199,0.9609518217967215,0,91.258,0,101.451,"CF2"
"ALLFEAT","SNORKEL_SVM","YES","KMD","2",0.552,0.19,0.9837379559502242,0,84.846,0,91.282,"CF3"
"ALLFEAT","SNORKEL_SVM","YES","KME","2",0.586,0.186,0.9980657447494301,0,72.937,0,83.019,"CF9"
"ALLFEAT","SNORKEL_SVM","YES","AHC","2",0.589,0.187,0.9926556401281661,0,69.217,0,79.636,"CF9"
"ALLFEAT","SNORKEL_SVM","YES","KMD","2",0.59,0.185,0.993429344040613,0,67.994,0,78.41,"CF9"
"ALLFEAT","SNORKEL_SVM","YES","SPEC","2",0.59,0.185,0.993429344040613,0,67.994,0,78.41,"CF9"
"ALLFEAT","SNORKEL_SVM","YES","AHC","3",0.503,0.284,0.9593852504614813,0,49.402,0,68.443,"CF2"
"ALLFEAT","SNORKEL_SVM","YES","KME","3",0.54,0.187,0.9994848646994243,0,34.941,0,39.067,"CF2"
"ALLFEAT","SNORKEL_SVM","YES","KME","3",0.567,0.171,0.9996679155161327,0,31.908,0,35.063,"CF9"
"ALLFEAT","SNORKEL_SVM","YES","KMD","3",0.567,0.171,0.9998102628429929,0,31.398,0,34.327,"CF9"
"ALLFEAT","SNORKEL_SVM","YES","KME","3",0.515,0.176,0.9950401717965738,0,31.209,0,46.457,"CF6"
"ALLFEAT","SNORKEL_SVM","YES","KMD","3",0.538,0.191,0.9983381446937462,0,30.872,0,40.778,"CF2"
"ALLFEAT","SNORKEL_SVM","YES","SPEC","3",0.569,0.179,0.9967626282937355,0,28.923,0,43.837,"CF9"
"ALSFRS-R_SEQUENCES","VARIABLE","NO","Thresold","3",0.592,0.211,0.7521955101235941,0,16.75,0,18.722,"MEY"
"ALLFEAT","SNORKEL_SVM","YES","SPEC","4",0.55,0.176,0.9615404960881584,0,15.68,0,23.766,"CF8"
"ALLFEAT","SNORKEL_SVM","YES","KME","4",0.548,0.172,0.9659306413997222,0,14.525,0,20.658,"CF8"
"ALSFRS-R_SCORE_Y1","VARIABLE","NO","Thresold","4",0.538,0.214,0.8575849266405517,0.023,5.151,0.012,6.366,"GRO"
"ALLFEAT","RF_SVM","YES","AHC","4",0.516,0.21,0.9997127491427911,0.032,4.611,0,12.612,"CF1"
"ALLFEAT","RF_SVM","YES","SPEC","4",0.524,0.198,0.9995407886842786,0.032,4.608,0,14.013,"CF1"
"ALLFEAT","RF_SVM","YES","KME","4",0.529,0.187,0.9995407886842784,0.147,2.108,0.002,9.477,"CF1"
"ALLFEAT","RF_SVM","YES","SPEC","5",0.517,0.194,0.9865079683162498,0.249,1.332,0.048,3.895,"CF1"
