"WORKFLOW","CONFIGURATION_ID","FEATURES","CORRELATION_METRIC","SVM_NORMALIZATION","MEASURE","UMAP","CLUSTERING","IS_SELECTED_BY_PARETO","N_CLUSTERS","SILHOUETTE_AVG","SILHOUETTE_STD","ENTROPY","LOGRANK_PVAL","LOGRANK_STAT","WILCOXON_PVAL","WILCOXON_STAT"
"CF8_WSD_UMAP_AHC_2","CF8","MANUAL","None","Sigmoid","SNORKEL_SVM","YES","AHC","True","2",0.554,0.18,0.9812758267529721,0,142.835,0,137.498
"CF8_WSD_UMAP_KMD_2","CF8","MANUAL","None","Sigmoid","SNORKEL_SVM","YES","KMD","True","2",0.554,0.18,0.9812758267529721,0,142.835,0,137.498
"CF8_WSD_UMAP_KME_2","CF8","MANUAL","None","Sigmoid","SNORKEL_SVM","YES","KME","True","2",0.553,0.181,0.9825288436200383,0,142.739,0,136.329
"CF5_WSD_UMAP_KMD_2","CF5","MANUAL","None","MIN_MAX","SNORKEL_SVM","YES","KMD","True","2",0.513,0.179,0.9849032384402939,0,141.872,0,133.507
"CF5_WSD_UMAP_KME_2","CF5","MANUAL","None","MIN_MAX","SNORKEL_SVM","YES","KME","True","2",0.521,0.171,0.9645705751859567,0,138.545,0,140.497
"CF5_WSD_UMAP_SPEC_2","CF5","MANUAL","None","MIN_MAX","SNORKEL_SVM","YES","SPEC","True","2",0.523,0.172,0.9551838209369798,0,132.998,0,138.817
"CF9_WSD_KMD_2","CF9","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM","NO","KMD","True","2",0.773,0.284,0.856340335103422,0,132.155,0,133.072
"CF2_WSD_UMAP_KMD_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_SVM","YES","KMD","True","2",0.54,0.217,0.9997375570984457,0,126.124,0,117.12
"CF6_WSD_UMAP_KME_2","CF6","MANUAL+TSFRESH","SPEARMAN","MIN_MAX","SNORKEL_SVM","YES","KME","False","2",0.535,0.185,0.9645705751859567,0,125.773,0,123.754
"CF6_WSD_UMAP_KMD_2","CF6","MANUAL+TSFRESH","SPEARMAN","MIN_MAX","SNORKEL_SVM","YES","KMD","False","2",0.535,0.186,0.9627837760216919,0,122.711,0,120.995
"CF1_RF_SPEC_2","CF1","MANUAL","None","None","SNORKEL_SVM","NO","SPEC","False","2",0.521,0.192,0.8488338343112026,0,114.574,0,119.583
"CF10_WSD_KMD_2","CF10","MANUAL+TSFRESH","Pearson","Sigmoid","SNORKEL_SVM","NO","KMD","True","2",0.756,0.235,0.9329682225778206,0,112.482,0,121.647
"CF1_WSD_UMAP_AHC_2","CF1","MANUAL","None","None","SNORKEL_SVM","YES","AHC","False","2",0.53,0.16,0.9201016628648183,0,112.467,0,120.322
"CF1_WSD_UMAP_KME_2","CF1","MANUAL","None","None","SNORKEL_SVM","YES","KME","False","2",0.53,0.16,0.9201016628648183,0,112.467,0,120.322
"CF1_RF_AHC_2","CF1","MANUAL","None","None","SNORKEL_SVM","NO","AHC","False","2",0.516,0.188,0.9030729194459918,0,109.239,0,120.41
"GOM_2","GOM","PC_CHANGE_M6","None","None","VARIABLE","NO","Thresold","True","2",0.61,0.229,0.8938955552616297,0,107.699,0,120.051
"CF5_WSD_AHC_2","CF5","MANUAL","None","MIN_MAX","SNORKEL_SVM","NO","AHC","False","2",0.5,0.178,0.9118063409237642,0,105.88,0,113.912
"CF2_WSD_UMAP_SPEC_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_SVM","YES","SPEC","True","2",0.568,0.203,0.9551838209369798,0,93.308,0,102.899
"CF3_WSD_UMAP_KME_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_SVM","YES","KME","True","2",0.564,0.182,0.9627837760216919,0,92.332,0,102.825
"CF3_WSD_UMAP_SPEC_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_SVM","YES","SPEC","False","2",0.56,0.211,0.9227703649299233,0,92.109,0,109.032
"CF2_WSD_UMAP_KME_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_SVM","YES","KME","True","2",0.568,0.199,0.9609518217967215,0,91.258,0,101.451
"CF6_WSD_UMAP_SPEC_2","CF6","MANUAL+TSFRESH","SPEARMAN","MIN_MAX","SNORKEL_SVM","YES","SPEC","False","2",0.543,0.208,0.9089441579941928,0,86.131,0,102.316
"CF3_WSD_UMAP_KMD_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_SVM","YES","KMD","True","2",0.552,0.19,0.9837379559502242,0,84.846,0,91.282
"CF2_WSD_UMAP_AHC_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_SVM","YES","AHC","False","2",0.551,0.26,0.9000634259319265,0,81.162,0,100.98
"CF3_WSD_UMAP_AHC_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_SVM","YES","AHC","False","2",0.558,0.217,0.9146198495089377,0,77.931,0,100.261
"CF9_WSD_UMAP_KME_2","CF9","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM","YES","KME","True","2",0.586,0.186,0.9980657447494301,0,72.937,0,83.019
"CF3_RF_UMAP_AHC_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_RF","YES","AHC","False","2",0.511,0.176,0.9987946423936424,0,72.272,0,81.734
"CF9_WSD_UMAP_SPEC_2","CF9","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM","YES","SPEC","True","2",0.587,0.187,0.9971650021894392,0,71.981,0,80.868
"CF9_WSD_UMAP_AHC_2","CF9","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM","YES","AHC","True","2",0.589,0.187,0.9926556401281661,0,69.217,0,79.636
"CF9_WSD_UMAP_KMD_2","CF9","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM","YES","KMD","True","2",0.59,0.185,0.993429344040613,0,67.994,0,78.41
"CF10_WSD_UMAP_KME_2","CF10","MANUAL+TSFRESH","Pearson","Sigmoid","SNORKEL_SVM","YES","KME","False","2",0.589,0.168,0.9837379559502242,0,53.658,0,72.478
"CF2_RF_UMAP_AHC_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_RF","YES","AHC","False","2",0.559,0.231,0.8371704755924707,0,52.924,0,71.177
"CF6_WSD_UMAP_AHC_2","CF6","MANUAL+TSFRESH","SPEARMAN","MIN_MAX","SNORKEL_SVM","YES","AHC","False","2",0.528,0.262,0.8371704755924707,0,52.924,0,71.177
"CF2_RF_UMAP_SPEC_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_RF","YES","SPEC","False","2",0.56,0.228,0.8411125241495769,0,52.091,0,70.593
"CF10_WSD_UMAP_KMD_2","CF10","MANUAL+TSFRESH","Pearson","Sigmoid","SNORKEL_SVM","YES","KMD","False","2",0.588,0.168,0.9860247628789437,0,51.914,0,69.349
"CF10_WSD_UMAP_SPEC_2","CF10","MANUAL+TSFRESH","Pearson","Sigmoid","SNORKEL_SVM","YES","SPEC","False","2",0.59,0.171,0.9786377659081746,0,51.628,0,70.468
"CF2_WSD_UMAP_AHC_3","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_SVM","YES","AHC","True","3",0.503,0.284,0.9593852504614813,0,49.402,0,68.443
"CF10_WSD_UMAP_AHC_2","CF10","MANUAL+TSFRESH","Pearson","Sigmoid","SNORKEL_SVM","YES","AHC","False","2",0.582,0.201,0.9571519685431349,0,48.477,0,71.17
"CF3_RF_UMAP_KMD_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_RF","YES","KMD","False","2",0.533,0.151,0.9799788277156347,0,44.611,0,58.043
"CF3_RF_UMAP_KME_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_RF","YES","KME","False","2",0.533,0.151,0.9799788277156347,0,44.611,0,58.043
"CF2_RF_UMAP_KMD_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_RF","YES","KMD","False","2",0.546,0.178,0.9424114403143551,0,44.118,0,53.88
"CF2_RF_UMAP_KME_2","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_RF","YES","KME","False","2",0.546,0.178,0.9424114403143551,0,44.118,0,53.88
"CF3_RF_UMAP_SPEC_2","CF3","MANUAL+TSFRESH","PEARSON","None","SNORKEL_RF","YES","SPEC","False","2",0.534,0.161,0.9663123348870251,0,37.345,0,48.82
"CF4_WSD_UMAP_SPEC_2","CF4","TSFRESH","PEARSON","MIN_MAX","SNORKEL_SVM","YES","SPEC","False","2",0.509,0.155,0.9531700210099744,0,34.997,0,50.351
"CF2_WSD_UMAP_KME_3","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_SVM","YES","KME","True","3",0.54,0.187,0.9994848646994243,0,34.941,0,39.067
"CF2_WSD_UMAP_SPEC_3","CF2","MANUAL+TSFRESH","SPEARMAN","None","SNORKEL_SVM","YES","SPEC","False","3",0.54,0.19,0.9993796699526692,0,34.628,0,38.328
"CF9_WSD_UMAP_KME_3","CF9","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM","YES","KME","True","3",0.569,0.171,0.9990949831564039,0,33.301,0,39.624
"CF6_WSD_UMAP_KMD_3","CF6","MANUAL+TSFRESH","SPEARMAN","MIN_MAX","SNORKEL_SVM","YES","KMD","True","3",0.515,0.178,0.9954074846066682,0,32.684,0,43.323
"CF9_WSD_UMAP_KMD_3","CF9","MANUAL+TSFRESH","Spearman","Sigmoid","SNORKEL_SVM","YES","KMD","True","3",0.567,0.171,0.9998102628429929,0,31.398,0,34.327
"CF1_RF_UMAP_KME_3","CF1","MANUAL","None","None","SNORKEL_SVM","YES","KME","False","3",0.521,0.212,0.9877084068302212,0,31.223,0,38.658
