"METHOD","N_CLUSTERS","NB_PATIENTS_PER_CLUSTER","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","SILHOUETTE"
"WSD_UMAP_KME_2",2,"186, 167",0.0000000000000000000000000006202,120.03922660928752,"0.5501102209091187 ± 0.19970868527889252"
"WSD_UMAP_KMD_2",2,"166, 187",0.000000000000000003186,75.77051426710416,"0.5413573980331421 ± 0.21096749603748322"
"WSD_UMAP_AHC_2",2,"260, 93",0.0000000000008766,51.10260255876558,"0.5288745760917664 ± 0.30045512318611145"
"WSD_AHC_2",2,"341, 12",0.0000000002364,40.14013262924839,"0.606797099436636 ± 0.2381455081125171"
"WSD_UMAP_KMD_3",3,"139, 121, 93",0.000009141,19.68310914054824,"0.597434937953949 ± 0.1676449477672577"
"WSD_UMAP_KME_3",3,"139, 121, 93",0.000009141,19.68310914054824,"0.597434937953949 ± 0.1676449477672577"
"WSD_UMAP_AHC_3",3,"121, 93, 139",0.000009141,19.68310914054822,"0.597434937953949 ± 0.1676449477672577"
"WSD_UMAP_AHC_4",4,"139, 93, 91, 30",0.0003711,12.672492307645461,"0.53508460521698 ± 0.2454138696193695"
"WSD_UMAP_KME_4",4,"93, 117, 78, 65",0.09281,2.824952360707195,"0.5135461688041687 ± 0.2012924700975418"
"WSD_UMAP_KME_5",5,"45, 93, 49, 94, 72",0.1081,2.5818088995477684,"0.5050082802772522 ± 0.1996799111366272"
"WSD_UMAP_KMD_4",4,"118, 93, 94, 48",0.3635,0.8258650213951696,"0.5094795823097229 ± 0.21046581864356995"
