"METHOD","N_CLUSTERS","NB_PATIENTS_PER_CLUSTER","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","SILHOUETTE"
"WSD_KMD_2",2,"103, 264",0.000000000000000000000000000001384,132.15518414094907,"0.7727719663724101 ± 0.28440995323982937"
"WSD_UMAP_KME_2",2,"193, 174",0.00000000000000001339,72.93699651600986,"0.5859757661819458 ± 0.1863708645105362"
"WSD_UMAP_AHC_2",2,"202, 165",0.00000000000000008819,69.21722130548635,"0.5890377163887024 ± 0.18714462220668793"
"WSD_UMAP_KMD_2",2,"166, 201",0.000000000000000164,67.9941795630513,"0.5895774364471436 ± 0.18503502011299133"
"WSD_UMAP_SPEC_2",2,"201, 166",0.000000000000000164,67.99417956305126,"0.5895774364471436 ± 0.18503502011299133"
"WSD_AHC_2",2,"355, 12",0.000000000236,40.14333419876811,"0.8284282319855284 ± 0.37326435138330344"
"WSD_KMD_3",3,"160, 168, 39",0.0000000002872,39.759791523357904,"0.6140369742980166 ± 0.32069570658995117"
"WSD_SPEC_2",2,"358, 9",0.000000002551,35.49965830805382,"0.8351233137245107 ± 0.375646227424516"
"WSD_UMAP_KME_3",3,"123, 118, 126",0.00000001616,31.9082702563072,"0.5671616196632385 ± 0.17129221558570862"
"WSD_UMAP_KMD_3",3,"125, 123, 119",0.00000002102,31.398089841936418,"0.5665194392204285 ± 0.17146767675876617"
"WSD_UMAP_SPEC_3",3,"124, 109, 134",0.00000007532,28.92293299620445,"0.5688789486885071 ± 0.17857852578163147"
"WSD_UMAP_AHC_3",3,"165, 108, 94",0.000002163,22.444950626787083,"0.5112308859825134 ± 0.237060084939003"
"WSD_UMAP_SPEC_4",4,"140, 100, 50, 77",0.0002651,13.301824107935872,"0.525461733341217 ± 0.23837855458259583"
"WSD_UMAP_KME_4",4,"116, 77, 124, 50",0.0002651,13.301824107935863,"0.5442520976066589 ± 0.194834902882576"
"WSD_SPEC_3",3,"358, 2, 7",0.01092,6.477516059957173,"0.7402958921940972 ± 0.49324704682571435"
"WSD_UMAP_SPEC_6",6,"38, 98, 58, 65, 86, 22",0.06972,3.289495289889899,"0.507622480392456 ± 0.18969494104385376"
"WSD_UMAP_KME_5",5,"80, 98, 50, 74, 65",0.2048,1.6077570486215433,"0.5468400120735168 ± 0.15789169073104858"
"WSD_UMAP_KMD_4",4,"113, 88, 66, 100",0.246,1.3460769016475786,"0.5155777335166931 ± 0.17384742200374603"
"WSD_UMAP_SPEC_5",5,"68, 98, 74, 50, 77",0.3938,0.7270791755143856,"0.5481753349304199 ± 0.15717154741287231"
"WSD_SPEC_5",5,"353, 1, 1, 2, 10",0.4795,0.5000000000000001,"0.665579921565015 ± 0.5309942442541009"
"WSD_SPEC_4",4,"350, 1, 3, 13",0.8964,0.016949152542372902,"0.6697714836624762 ± 0.5221589150060957"
"WSD_UMAP_KME_6",6,"51, 98, 50, 72, 63, 33",0.9186,0.010439929880623198,"0.5128507018089294 ± 0.17523127794265747"
