"METHOD","N_CLUSTERS","NB_PATIENTS_PER_CLUSTER","ENTROPY_NORMALIZED","LOGRANK-PVAL_MAX","LOGRANK-STAT_MIN","SILHOUETTE"
"WSD_UMAP_AHC_2",2,"121, 105",0.996,0.0000000000003877,52.705,"0.582 ± 0.161"
"WSD_UMAP_KME_2",2,"121, 105",0.996,0.0000000000003877,52.705,"0.582 ± 0.161"
"WSD_UMAP_SPEC_2",2,"121, 105",0.996,0.0000000000003877,52.705,"0.582 ± 0.161"
"RF_UMAP_KMD_2",2,"113, 113",1,0.0000000000004154,52.569,"0.568 ± 0.182"
"MAN_UMAP_KME_2",2,"118, 108",0.999,0.0000000000004168,52.562,"0.578 ± 0.148"
"MAN_UMAP_SPEC_2",2,"108, 118",0.999,0.0000000000004168,52.562,"0.578 ± 0.148"
"RF_UMAP_SPEC_2",2,"107, 119",0.998,0.000000000001002,50.841,"0.562 ± 0.194"
"WSD_UMAP_KMD_2",2,"107, 119",0.998,0.000000000001647,49.865,"0.579 ± 0.167"
"MAN_UMAP_KMD_2",2,"113, 113",1,0.00000000001093,46.155,"0.575 ± 0.156"
"MAN_UMAP_AHC_2",2,"117, 109",0.999,0.00000000001289,45.831,"0.57 ± 0.166"
"RF_UMAP_KME_2",2,"121, 105",0.996,0.00000000001738,45.246,"0.565 ± 0.19"
"RF_UMAP_AHC_2",2,"125, 101",0.992,0.00000000002397,44.617,"0.56 ± 0.2"
"EUC_UMAP_AHC_2",2,"119, 107",0.998,0.000000001208,36.956,"0.524 ± 0.137"
"EUC_UMAP_KMD_2",2,"107, 119",0.998,0.000000001208,36.956,"0.524 ± 0.137"
"EUC_UMAP_KME_2",2,"107, 119",0.998,0.000000001208,36.956,"0.524 ± 0.137"
"EUC_UMAP_SPEC_2",2,"107, 119",0.998,0.000000001208,36.956,"0.524 ± 0.137"
"RF_SPEC_2",2,"214, 12",0.299,0.0000002344,26.726,"0.54 ± 0.234"
"RF_UMAP_SPEC_3",3,"101, 59, 66",0.974,0.00005148,16.393,"0.516 ± 0.193"
"RF_UMAP_KMD_3",3,"78, 81, 67",0.997,0.00068,11.543,"0.51 ± 0.2"
"RF_UMAP_KME_3",3,"78, 70, 78",0.999,0.001003,10.821,"0.508 ± 0.194"
"EUC_SPEC_2",2,"214, 12",0.299,0.001214,10.469,"0.515 ± 0.169"
"WSD_UMAP_KMD_3",3,"103, 60, 63",0.971,0.002489,9.149,"0.503 ± 0.192"
"RF_UMAP_AHC_3",3,"101, 79, 46",0.957,0.003114,8.739,"0.509 ± 0.226"
"WSD_UMAP_SPEC_3",3,"66, 104, 56",0.967,0.005569,7.685,"0.508 ± 0.19"
"WSD_UMAP_AHC_3",3,"105, 68, 53",0.963,0.006883,7.303,"0.51 ± 0.193"
